Start processing data...
Data read
here
and here
captivity : 76
captors : 8
capture : 189
captured : 334
captures : 63
capturing : 35
caravan : 3
caravans : 2
caraxes : 22
carcass : 8
card : 1
care : 85
career : 9
careful : 15
carefully : 31
carellen : 2
carellen's : 1
cargyll : 40
caring : 8
carnage : 19
carnal : 28
carolei : 2
caron : 8
carried : 203
carries : 75
carrion : 14
carrot : 2
carry : 65
carrying : 70
cart : 42
carve : 28
carved : 38
case : 36
cases : 20
cask : 21
cass : 1
cassana : 3
cassana's : 1
cassandra : 68
cassel : 105
cassel's : 2
cassella : 25
cast : 36
castellan : 140
casterly : 475
casterlys : 27
casting : 8
castle : 1622
castle's : 106
castles : 107
castos : 1
castrated : 1
casually : 19
casualty : 8
caswell : 29
cat : 152
catalyst : 1
catapult : 3
catapulting : 8
catapults : 16
catch : 9
catches : 1
catching : 18
catelyn : 626
catelyn's : 71
catspaw : 12
catspaw's : 2
cattery : 18
cattle : 17
caught : 174
cause : 208
caused : 292
causes : 3
causeway : 15
causing : 143
caution : 40
cautions : 15
cautious : 8
cavalry : 28
cave : 22
cavern : 9
caverns : 18
cay : 9
cayn : 5
ceding : 20
cedra : 3
cedric : 4
cedrik : 2
celebrants : 18
celebrate : 107
celebrated : 82
celebrating : 35
celebration : 18
celebrations : 8
celia : 20
cell : 78
cellador : 26
cellar : 18
cellars : 8
cells : 159
celtigar : 24
cement : 1
cemented : 20
centaur : 2
center : 110
central : 10
centuries : 70
century : 88
ceremony : 177
cerenna : 1
cerrick : 6
cersei : 756
cersei's : 39
certain : 178
certainty : 1
cerwyn : 27
cetheres : 1
chafed : 8
chain : 62
chained : 79
chainmail : 9
chains : 109
chair : 74
chairs : 8
chalice : 16
challenge : 63
challenged : 75
challengers : 4
challenges : 31
challenging : 16
chamber : 36
chambers : 146
champion : 113
champions : 94
championship : 8
chance : 58
chances : 2
chandler : 1
change : 68
changeable : 24
changed : 83
changes : 17
chaos : 79
chapter : 5
chapters : 29
character : 55
character's : 21
characteristics : 8
characters : 16
charcoal : 18
charge : 94
charged : 43
charger : 16
charges : 42
charismatic : 20
charitable : 9
charities : 10
charity : 9
charlemagne's : 8
charlton : 39
charm : 26
charmed : 20
charming : 69
charms : 44
charred : 20
charter : 16
chase : 9
chased : 24
chaser : 44
chasings : 8
chastise : 21
chastised : 8
chastity : 9
chataya : 11
chataya's : 51
chats : 1
chatting : 1
chayle : 28
cheaper : 1
cheated : 8
check : 8
cheek : 2
cheekbones : 32
cheeks : 16
cheer : 16
cheered : 22
cheerful : 9
cheers : 22
cheese : 70
chella : 7
chelsted : 34
chequy : 44
cherished : 9
chest : 51
chested : 9
chestnut : 1
chett : 42
chewed : 4
chews : 1
cheyk : 3
cheyk's : 1
chickens : 21
chief : 42
chiefs : 1
